SiteName,date,PM2.5,AQI,CO,NO2,O3,SO2,SiteTypes,SiteX,SiteY
北部新区,20161126,222.9583333,232.8333333,4.7875,124.9166667,3.458333333,21.41666667,城区环境评价点,116.174,40.09
北部新区,20160129,104.625,160.2916667,3.216666667,66.08333333,6.833333333,32.20833333,城区环境评价点,116.174,40.09
北部新区,20160602,59.79166667,76,0.604166667,75.08333333,74.73913043,9.583333333,城区环境评价点,116.174,40.09
北部新区,20161203,148.5416667,162.375,4.1125,105.4583333,6.52173913,17.625,城区环境评价点,116.174,40.09
北部新区,20160829,27.375,72.79166667,0.383333333,52.16666667,58.47826087,7.083333333,城区环境评价点,116.174,40.09
北部新区,20160814,20,57.375,0.279166667,43.54166667,45.91666667,3.666666667,城区环境评价点,116.174,40.09
北部新区,20160525,14.625,29.41666667,0.191666667,32.54166667,51.2173913,6.791666667,城区环境评价点,116.174,40.09
北部新区,20160425,NA,138.625,1.033333333,72.30434783,NA,11.91304348,城区环境评价点,116.174,40.09
北部新区,20160623,145.7777778,74.83333333,0.825,38.625,37.29166667,3.833333333,城区环境评价点,116.174,40.09
北部新区,20160828,19.16666667,66.83333333,0.270833333,40.54166667,40.75,9.166666667,城区环境评价点,116.174,40.09
北部新区,20160502,48.625,164.9166667,0.379166667,60.04166667,NA,8.25,城区环境评价点,116.174,40.09
北部新区,20160524,18.125,48.33333333,0.304166667,37.29166667,37.875,7.625,城区环境评价点,116.174,40.09
北部新区,20160127,103.2083333,98.25,3.216666667,74.70833333,3.708333333,38.91666667,城区环境评价点,116.174,40.09
北部新区,20160714,36.83333333,85.875,0.620833333,39.69565217,28.76190476,5.25,城区环境评价点,116.174,40.09
北部新区,20161201,67.33333333,81.66666667,1.7,72,19,9,城区环境评价点,116.174,40.09
北部新区,20160225,24.95833333,56,1.058333333,37.45833333,31,15.16666667,城区环境评价点,116.174,40.09
北部新区,20160523,64.04166667,103.125,0.7125,58.70833333,37.30434783,9,城区环境评价点,116.174,40.09
北部新区,20160126,26,54.70833333,0.625,32.375,33.82608696,18.45833333,城区环境评价点,116.174,40.09
北部新区,20160530,84.66666667,77.70833333,0.891666667,73.41666667,78.625,13.70833333,城区环境评价点,116.174,40.09
北部新区,20161130,137.0625,203.125,4.293333333,90.8,3.428571429,20.33333333,城区环境评价点,116.174,40.09
北部新区,20160819,21.75,65.41666667,0.829166667,28.54166667,49.08695652,6,城区环境评价点,116.174,40.09
北部新区,20160811,113.8636364,125,0.933333333,42.125,59.34782609,7.333333333,城区环境评价点,116.174,40.09
北部新区,20161207,129.7083333,145.1666667,3.6125,113.6666667,13,17.25,城区环境评价点,116.174,40.09
北部新区,20160902,18.70833333,61.91666667,0.308333333,41.16666667,25.17391304,9.333333333,城区环境评价点,116.174,40.09
北部新区,20160422,58.26086957,102.5833333,0.2375,59.45833333,42.91666667,5.708333333,城区环境评价点,116.174,40.09
北部新区,20161129,153.6666667,162.8333333,4.527777778,103.1764706,2,17.22222222,城区环境评价点,116.174,40.09
北部新区,20160429,137.375,121.3333333,1.145833333,94.41666667,NA,11.45833333,城区环境评价点,116.174,40.09
北部新区,20161228,44,75.72727273,1.318181818,47.86363636,33.81818182,5.636363636,城区环境评价点,116.174,40.09
北部新区,20160901,16.73913043,70.30434783,0.256521739,40.95652174,41.08695652,7.434782609,城区环境评价点,116.174,40.09
北部新区,20160704,130.9565217,156.0434783,0.973913043,38.04347826,57.86363636,8,城区环境评价点,116.174,40.09
北部新区,20160817,NA,NA,NA,NA,NA,NA,城区环境评价点,116.174,40.09
北部新区,20160131,14.08333333,53.16666667,0.541666667,28.66666667,35.58333333,12.41666667,城区环境评价点,116.174,40.09
北部新区,20160520,103.826087,131.375,0.883333333,53.53333333,115.2,11.79166667,城区环境评价点,116.174,40.09
北部新区,20160123,10.41666667,34.83333333,0.395833333,12.125,37.625,6.916666667,城区环境评价点,116.174,40.09
北部新区,20160725,29.84615385,82.4,0.739130435,26.69565217,19.69565217,4.739130435,城区环境评价点,116.174,40.09
北部新区,20160108,30.70833333,35.45833333,0.6375,61.39130435,12.40909091,11.54166667,城区环境评价点,116.174,40.09
北部新区,20161202,100.75,101.875,3.3125,101.0833333,7.166666667,14.29166667,城区环境评价点,116.174,40.09
北部新区,20160603,93.04166667,92.41666667,1.066666667,75.29166667,49.16666667,11.125,城区环境评价点,116.174,40.09
